,M1,M2,M3,M4,M5,M6,M7,M8
0,0.6068319271323834,-0.47907143591368034,-0.3073949889874129,-0.1999248852982371,0.6524867655653974,-0.5886140636057846,-0.13121961925138337,-0.1865063223984956
1,0.03414535382413009,-0.01794236542177041,-0.0049753027013694235,-0.44434327241597804,0.6687999409659943,-0.8096898885999431,-0.5957875677503786,-0.2992147411606232
2,0.6162697015851999,-0.6408996985481222,-0.012247768243646569,-0.1183031812229076,0.641102594225904,-0.4729110598218473,-0.8835845063033007,-0.31586098498050535
3,0.9795853730458035,-0.9763487191966319,-8.224615535307029e-05,-0.9308629915738349,0.294159574619738,-0.381410714375768,-0.22997403796336885,-0.09065116877599334
4,0.5722824813096948,-0.37842678621250997,-0.7107485183864117,-0.2913339706333152,0.34634932534361734,-0.5027244853189619,-0.74271756275964,-0.15862853762256837
5,0.8802358687515909,-0.9090874000667096,-0.017018632573803507,-0.6349538641882393,0.2955465383347882,-0.39548280922467105,-0.3022911968710521,-0.10353773771227574
6,0.4597298380355584,-0.6064976829951353,-0.41330499132375637,-0.13402741190124876,0.8874915830421464,-0.8748384136040196,-0.006646959665722342,-0.6513160809478692
7,0.7957814811609957,-0.8586041750141076,-0.07743663458598178,-0.4439651262271594,0.6245680413036789,-0.8055369711355006,-0.9889676254427128,-0.3151905316403442
8,0.8826226158782111,-0.8845529512705242,-0.00016848041174124555,-0.6362285788663805,0.8214062000799978,-0.7722812721156933,-0.07993082030953418,-0.49486515882729815
9,0.6748269167276445,-0.7647978887879621,-0.15691809600642567,-0.24209720442056593,1.0,-1.0,-0.00016598498793357183,-1.0
10,0.13707287853801026,-0.07338937219552207,-0.07684874728931416,-0.26213981488430016,0.6464844159448837,-0.6165376216835915,-0.03035452841909048,-0.15891078767641287
11,0.66358795049747,-0.6210961772041964,-0.0331293747367388,-0.18670524044298795,0.4740162326744837,-0.5206427146178324,-0.06359986081803626,-0.02111838053937962
12,0.67297531846398,-0.6453746960832234,-0.013684152102212042,-0.19447605397086462,0.5711699382742449,-0.5775236475071568,-0.0007750110355747291,-0.06856057136674952
13,0.005579998034147034,-0.007733279070596799,-8.884985009971296e-05,-0.510791066407716,0.48586831559378235,-0.42855107643015516,-0.10483381260772348,-0.03331362324236912
14,0.7682998648266058,-0.8302328752467522,-0.07521297315539949,-0.38411444969478675,0.25803478813584196,-0.30870229944375616,-0.07692793453521939,-0.09188646207816174
15,0.8214442634478205,-0.7742198857545632,-0.04074492023303345,-0.49177680608442087,0.25293388107498915,-0.34460767915707796,-0.25460849974390565,-0.13101737168683972
16,0.6518255969178114,-0.6981839464812782,-0.0423037196519863,-0.17295409165008416,0.20247657716809514,-0.291069420373418,-0.23830988079561716,-0.18520532045312987
17,0.2578770636205467,-0.29727980062639897,-0.0300294323452922,-0.08759734934051193,0.06990414521023737,-0.07227177444976575,-0.00014921504450274314,-0.3619555971409361
18,0.20065982090575415,-0.11864365535050862,-0.12737339992447416,-0.1829742920564845,0.14448824476974642,-0.12285819228318845,-0.014807411119277164,-0.22674063889888837
19,0.8179998202168655,-0.8287442861548209,-0.00261248964720834,-0.47165692708633294,0.7256579063220892,-0.6307194019664372,-0.28652540995373427,-0.33345071234288687
