J,S,P,Q,R,SS,PP,QQ,RR,SP,SQ,SR,PQ,PR,QR
0.30062805151972516,-0.11340000000000001,0.045156408188128834,-0.0020512000000000004,0.1581144929566397,0.012859560000000003,0.002039101200452909,4.207421440000002e-06,0.025000192882935268,-0.0051207366885338106,0.0002326060800000001,-0.017930183501282945,-9.262482447548989e-05,0.007139882584409044,-0.0003243244479526594
0.32772701627618217,-0.12908000000000003,0.045156408188128834,-0.0037536000000000006,0.1581144929566397,0.016661646400000008,0.002039101200452909,1.4089512960000004e-05,0.025000192882935268,-0.005828789168923671,0.0004845146880000002,-0.020409418750843056,-0.0001694990937749604,0.007139882584409044,-0.000593498560762043
0.5249303350505531,-0.17311999999999997,0.10309687730085294,-0.0058752000000000006,0.3117095517243452,0.029970534399999988,0.010628966109187126,3.451797504000001e-05,0.09716284463619225,-0.01784813139832366,0.0010171146239999998,-0.05396315759451863,-0.0006057147735179713,0.03213628140762869,-0.0018313559582908733
0.6841074060710101,-0.26855999999999997,0.10309687730085294,-0.0078848,0.3117095517243452,0.07212447359999997,0.010628966109187126,6.217007104000001e-05,0.09716284463619225,-0.027687697367917062,0.002117541888,-0.08371271721109014,-0.0008128982581417654,0.03213628140762869,-0.0024577674734361176
0.3046741711924106,-0.08086000000000003,0.10224871545496686,-0.005224,0.17431666225683368,0.006538339600000004,0.010454799812190779,2.7290176000000003e-05,0.030386298740363023,-0.008267831131688623,0.0004224126400000002,-0.014095245310087576,-0.0005341472895367469,0.017823654798158547,-0.0009106302436296992
0.5208209904183274,-0.21034000000000003,0.10224871545496686,-0.006688000000000001,0.17431666225683368,0.04424291560000001,0.010454799812190779,4.472934400000002e-05,0.030386298740363023,-0.02150699480879773,0.0014067539200000004,-0.0366657667391024,-0.0006838394089628185,0.017823654798158547,-0.0011658298371737038
1.0086393931271969,-0.43706,0.09019165170329191,-0.004309600000000001,0.4401381918398488,0.1910214436,0.008134534036967919,1.857265216000001e-05,0.19372162791605155,-0.039419163293440765,0.0018835537760000004,-0.19236679812552432,-0.0003886899421805069,0.039696790499736324,-0.001896819551553013
1.0500552182173697,-0.45997999999999994,0.09019165170329191,-0.0049464,0.4401381918398488,0.21158160039999996,0.008134534036967919,2.446687296e-05,0.19372162791605155,-0.041486355950480204,0.0022752450719999997,-0.20245476548249364,-0.00044612398598516313,0.039696790499736324,-0.002177099552116628
0.9624939898189133,-0.44201999999999997,0.04667446944743961,-0.0022328,0.4418086976630484,0.19538168039999998,0.0021785060981999735,4.98539584e-06,0.19519492533071892,-0.020631048985157253,0.000986942256,-0.19528828054102065,-0.00010421475538224317,0.020621186560687038,-0.0009864704601420546
0.9788767307161514,-0.45062,0.04667446944743961,-0.0048904,0.4418086976630484,0.2030583844,0.0021785060981999735,2.3916012159999996e-05,0.19519492533071892,-0.021032449422405237,0.002203712048,-0.1990878353409229,-0.00022825682538575866,0.020621186560687038,-0.0021606212550513717
0.6931866673459035,-0.26114,0.09433617097541852,-0.0053076,0.3946030837192226,0.06819409959999999,0.008899313154303395,2.817061776e-05,0.1557115936807198,-0.02463494768852079,0.001386026664,-0.10304664928243779,-0.0005006986610691313,0.037225343973163974,-0.002094395327148146
0.7660198111471802,-0.30374,0.09433617097541852,-0.0077436,0.3946030837192226,0.09225798760000001,0.008899313154303395,5.9963340959999995e-05,0.1557115936807198,-0.02865366857207362,0.002352041064,-0.11985674064887668,-0.0007305015735652508,0.037225343973163974,-0.003055648439088172
0.9057500664466613,-0.43086,0.0237524864895456,-0.0014952000000000001,0.44037721307876626,0.1856403396,0.0005641806144360464,2.2356230400000004e-06,0.1939320897990211,-0.010233996328885619,0.000644221872,-0.18974092602711723,-3.5514717799168586e-05,0.01046005380395714,-0.0006584520089953714
0.9630642705378997,-0.46074000000000004,0.0237524864895456,-0.0022072000000000003,0.44037721307876626,0.21228134760000003,0.0005641806144360464,4.8717318400000014e-06,0.1939320897990211,-0.010943720625193241,0.0010169453280000002,-0.20289939715391078,-5.242648817972506e-05,0.01046005380395714,-0.000972000584707453
1.0806364668138198,-0.46662000000000003,0.10961186003716826,-0.0067092,0.432473671381623,0.21773422440000004,0.012014759860807763,4.501336464e-05,0.18703347643830007,-0.05114708613054346,0.0031306469040000002,-0.20180086454009294,-0.0007354078913613694,0.04740424353724276,-0.0029015523560335854
1.0870886766846903,-0.47002,0.10961186003716826,-0.008414,0.432473671381623,0.2209188004,0.012014759860807763,7.079539599999999e-05,0.18703347643830007,-0.051519766454669824,0.00395474828,-0.20327127502279044,-0.0009222741903527337,0.04740424353724276,-0.003638833471004976
0.5865865361763989,-0.20156000000000002,0.11996776730215356,-0.00788,0.3099743208830025,0.040626433600000005,0.014392265191463664,6.209439999999999e-05,0.09608407960687858,-0.02418070317742207,0.0015882928,-0.06247842411717799,-0.00094534600634097,0.037186927197335115,-0.0024425976485580596
0.6041445161121001,-0.21228000000000002,0.11996776730215356,-0.007896,0.3099743208830025,0.04506279840000001,0.014392265191463664,6.234681600000001e-05,0.09608407960687858,-0.02546675764290116,0.0016761628800000003,-0.06580134883704378,-0.0009472654906178045,0.037186927197335115,-0.0024475572376921875
0.83899307293457,-0.39228,0.027070712804871284,-0.0017116000000000006,0.44725198366090624,0.15388359840000002,0.0007328234917638221,2.929574560000002e-06,0.20003433688861555,-0.010619299219094908,0.0006714264480000003,-0.1754480081505003,-4.6334232036817705e-05,0.012107430001093378,-0.0007655164952340074
