M1,M2,M3,M4,M5,M6,M7,M8
68.5683,-64.91095,-1056.1431315068576,-371.53418293500005,69.37100000000001,-54.49105000000001,-17482.062806063077,-818.0614650050001
97.5986,-104.84745000000001,-4148.852149851385,-2370.7183746050005,78.41669999999999,-64.2879,-15761.599481085108,-1206.7548177699998
62.4803,-52.57385,-7748.646281032385,-352.033391295,29.9996,-43.58395,-14570.265232897726,-769.085130005
119.5868,-119.3986,-2.7965910958979223,-4842.39357272,103.2193,-104.9509,-236.74721926537626,-2838.2907696100006
45.792699999999996,-35.884,-7752.166499482053,-214.06604467,80.9958,-79.31205,-223.84373814720178,-966.4096457650002
82.30340000000001,-88.40445000000001,-2938.995362225214,-1117.9552737650004,15.957400000000007,-20.231400000000008,-1442.3105094770701,-1195.4327667599994
117.8896,-118.8802,-77.47942333275007,-4610.960364879999,73.5992,-52.452549999999995,-35307.98122541019,-1451.2838530850004
0.4865999999999957,-0.30849999999999567,-2.5044800196547046,-2451.6402187800004,112.9203,-111.52459999999999,-153.80621662505123,-3962.8601090699995
43.9375,-61.43325,-24168.787379589467,-648.956442375,37.723699999999994,-39.57149999999999,-269.5874420143101,-157.53627137000015
52.3237,-29.562600000000003,-40904.98390060432,-1041.53492811,70.1455,-87.29885,-23232.055184917976,-994.316002695
18.770300000000006,-13.595300000000005,-2114.5133949113892,-1028.8554120899996,49.544399999999996,-26.601599999999998,-41560.672934740694,-1052.9517150399997
59.5924,-78.54175,-28351.651847261423,-810.1698686049998,78.9469,-80.3215,-149.1909266808406,-841.70206993
102.6151,-96.52495,-2928.5032558187936,-2842.5286020549997,68.0683,-61.53399999999999,-3371.226032314823,-411.85761787
72.1565,-53.637049999999995,-27079.82800620876,-1176.850548855,93.0615,-82.19465,-9323.88862248987,-2090.4696400949997
19.9636,-26.101399999999998,-2974.5083889255507,-977.53050264,113.7233,-113.3042,-13.86835831843603,-4061.01025251
49.6897,-37.04275,-12628.778192493653,-319.986974695,32.9644,-36.82955,-1179.5665218626577,-320.0904364050001
21.4152,-13.26635,-5243.03044519529,-949.8983036850001,54.688199999999995,-36.36425,-26511.111025923492,-693.5135064449998
77.84700000000001,-91.38045000000001,-14461.281427507343,-1141.7639468050002,93.3014,-92.771,-22.212465341350132,-1875.5738902800001
41.708600000000004,-38.98545000000001,-585.5080373854901,-83.57840580499993,0.6009999999999991,-0.7287499999999991,-1.2885804854084273,-2440.293841125
39.7989,-32.61215,-4078.0712349213372,-207.36119233499994,9.590999999999994,-9.092799999999993,-19.597342318949103,-1633.3836874800004
69.9419,-64.4649,-2368.5099539216453,-457.6744336099999,104.3455,-107.05925,-581.4728014624351,-2968.162248375
28.968999999999994,-29.703499999999995,-42.59644276595838,-443.38194150000027,109.2641,-109.48,-3.6803999577851365,-3512.3267744299997
72.2526,-51.3762,-34411.28982452099,-1366.82636068,58.7263,-56.4619,-404.8517536549926,-86.40332641000003
48.1356,-44.305699999999995,-1158.1494398469158,-32.81225538000001,70.1922,-72.1181,-292.85807185932873,-415.14312246
58.7875,-39.1405,-30477.70230261741,-849.22937425,52.961600000000004,-77.78355,-48647.61185399702,-1241.029478165
49.820800000000006,-26.669950000000007,-42317.85192043843,-1071.9558240849997,0.33969999999999345,-0.35174999999999346,-0.01146472986439342,-2466.145686495001
6.068799999999996,-3.597249999999996,-482.3125181058383,-1942.1674522450003,13.050799999999995,-12.451499999999996,-28.358175622411288,-1365.9617016200004
119.1226,-119.10950000000001,-0.013549782490167557,-4777.934173980001,55.0368,-51.54255,-964.0458291999704,-49.788920364999996
60.1335,-56.9658,-792.2784104394995,-122.75646882999996,87.14580000000001,-100.21985000000001,-13496.153697207725,-1721.672024445
83.7444,-80.964,-610.3856178616298,-1154.14577968,77.9435,-95.16735,-23423.414386449236,-1374.161209895
