A	B
-16.86	-0.053
-82.644	-36.331
-82.752	-24.172
-59.425	-36.561
-76.494	-30.715
-48.033	-6.423
-9.801	1.833
-11.894	-4.59
-89.557	4.735
-72.245	20.602
-62.484	36.088
-12.274	8.617
-110.332	-7.417
-8.207	-6.347
-35.189	-12.945
-59.227	24.304
-14.937	2.829
-82.494	-16.325
-102.842	11.97
-65.461	10.364
