R,S,P,Q
0.3658311573892453,-0.21796420000000002,0.10302543288098519,-0.005192876000000001
0.39691279097271864,-0.2571516,0.11532206950142404,-0.008387796000000001
0.1327597223072327,-0.1743358,0.08891189334255734,-0.004205908
0.4490005977819551,-0.4198036,0.11385862522271291,-0.009551888000000001
0.42797343297373897,-0.3172482,0.06441674673564256,-0.00287072
0.023910260706189304,-0.08092560000000003,0.11174085886620236,-0.007072356000000002
0.35187007022299416,-0.20981019999999997,0.11479375856558711,-0.009510416
0.43973865798955314,-0.4460984,-0.03844943663649377,-2.4679999999999655e-05
0.21686980465964886,-0.15828599999999998,0.04299854575628737,-0.00491466
0.3594716356994312,-0.3491954,0.03841987241981698,-0.0023650080000000005
0.23097224662749444,-0.1064064,0.012090634030122043,-0.0010876240000000006
0.42316808648469895,-0.321286,0.06253896580923701,-0.00628334
0.3834455009753764,-0.24613599999999997,0.11665375008804685,-0.007721996000000001
0.43224152994761333,-0.3287786,0.07766491161397387,-0.0042909639999999995
0.4386781447225261,-0.4532168,0.014219116085512112,-0.002088112
0.17849250632656027,-0.14731819999999998,0.06554358367013446,-0.00296342
0.2845300562863557,-0.145457,0.0153958258294033,-0.001061308
0.44727230064829937,-0.371084,0.09616407985186487,-0.007310436000000002
-0.1428117271110364,-0.0029149999999999966,0.06498664988095017,-0.0031188360000000007
-0.04045849104947399,-0.03637119999999997,0.05750581105819508,-0.002608972
