F_SVM,S,P,Q,R,SS,PP,QQ,RR,SP,SQ,SR,PQ,PR,QR
1.1619252792073547,0.6630385014646495,-0.9122869258941984,1.0468293340924752,-0.027234929498294445,0.439620054424488,0.8322674351574866,1.0958516547164951,0.0007417413847770689,-0.6048813562506811,0.6940881529659118,-0.018057806842044527,-0.955008715135095,0.02484607010894426,-0.028510323110755086
1.70928801689242,0.941464953070587,-0.9122869258941984,1.1383760139780166,-0.027234929498294445,0.8863562578602026,0.8322674351574866,1.2958999492004775,0.0007417413847770689,-0.8588861678738915,1.0717411205764953,-0.025640731621992523,-1.0385255543036958,0.02484607010894426,-0.031003590483240733
-0.7216092783709696,0.6158054427100705,-0.6420033052541523,0.01682989397028123,-0.11073043610616645,0.37921634327134596,0.4121682439572562,0.0002832453310509085,0.012261229480261811,-0.39534912961336177,0.010363940307132578,-0.068188405227837,-0.010804847555997477,0.07108930597239259,-0.0018635814989497817
1.822921323336165,1.7174366326100932,-0.6420033052541523,0.04731235679551028,-0.11073043610616645,2.949588587031096,0.4121682439572562,0.002238459105545668,0.012261229480261811,-1.102599994700241,0.08125597473572843,-0.1901725073136216,-0.030374689442081354,0.07108930597239259,-0.005238917901177402
2.7522871154091266,1.2104803065036192,0.4129941654538274,0.4023287927290818,-0.21955872159479178,1.4652625724330959,0.17056418069890336,0.16186845745884046,0.04820603222833929,0.49992130398275536,0.48701108033793,-0.26577150861160637,0.16615944399119303,-0.09067647099315027,-0.08833479539237316
5.9833295275206355,2.6363504636437196,0.4129941654538274,0.7788418188960804,-0.21955872159479178,6.950343767154456,0.17056418069890336,0.6065945788613549,0.04820603222833929,1.088797359576349,2.0532999903517997,-0.5788337374734517,0.3216571270155277,-0.09067647099315027,-0.17100151408138575
0.7808357953910818,0.5541893848610528,0.6271700548975466,0.42491758847090466,-0.01818158763021606,0.30712587429267213,0.39334227776019165,0.18055495699192908,0.0003305701287552256,0.3475709869269441,0.23548481697133267,-0.010076042864586765,0.2664955872882304,-0.01140294731216716,-0.007725676370403838
1.3764651054626897,0.9657917540080956,0.6271700548975466,0.9214739291515902,-0.01818158763021606,0.9327537121100338,0.39334227776019165,0.8491142021060699,0.0003305701287552256,0.6057156673808551,0.8899519223080459,-0.01755962740803826,0.5779208547326609,-0.01140294731216716,-0.016753858991829143
1.954116282728769,1.3322918790812173,-0.25703424508019557,0.1723698875068327,-0.19872433762357708,1.775001651065761,0.06606660314394604,0.029711378119118156,0.03949136236392945,-0.34244463736611586,0.22964700132349616,-0.26475882119168576,-0.044304963909876975,0.051078960100138036,-0.03425409172104582
4.252901337976086,2.2652335734291733,-0.25703424508019557,0.20652613249666588,-0.19872433762357708,5.131283142190702,0.06606660314394604,0.04265304340403039,0.03949136236392945,-0.5822426014766813,0.46782992912192933,-0.45015704144240104,-0.05308428855561296,0.051078960100138036,-0.041041768882359046
6.673934380291038,2.6399018214448158,0.24992002698781435,0.4700951799545503,-0.229193643371715,6.969081626867656,0.06246001988958985,0.22098947821650103,0.05252972616200088,0.6597643344606686,1.2410051218144458,-0.6050487166005639,0.11748620006108265,-0.05728008153689451,-0.10774282702526539
8.973586561940811,3.497554730409534,0.24992002698781435,0.7591324740400284,-0.229193643371715,12.232889092210106,0.06246001988958985,0.5762821131421344,0.05252972616200088,0.8741089726153084,2.655107375586194,-0.8016173115545374,0.18972240839941015,-0.05728008153689451,-0.17398833752701795
2.487542650402269,1.2030224551213173,0.03578991090133491,0.3652930968534779,-0.13342467263978025,1.447263027526122,0.0012809177223254914,0.13343904660880437,0.017802143269032525,0.043056066481097124,0.43945579821554015,-0.1605128772528665,0.013073807389258677,-0.004775257145817513,-0.04873911186524683
3.089228206981712,1.4952992021515297,0.03578991090133491,0.43757724322731095,-0.13342467263978025,2.2359197039550014,0.0012809177223254914,0.19147384379041324,0.017802143269032525,0.05351662521584043,0.6543089026774639,-0.19950980654559244,0.015660850547557215,-0.004775257145817513,-0.05838360043222146
0.16343659706515723,0.28694971032856803,-0.12670483817481548,0.7371394267573307,0.06939298814834274,0.0823401362576491,0.016054116016906178,0.5433745344801261,0.0048153868041560365,-0.03635791661149139,0.21152194497978272,0.019912297848000703,-0.09339913177956384,-0.008792427333802656,0.05115230750464761
0.40545268385554856,0.5511707307301209,-0.12670483817481548,0.8229272048713302,0.06939298814834274,0.30378917441357545,0.016054116016906178,0.6772091845173402,0.0048153868041560365,-0.06983599824385477,0.45357338884662696,0.03824738398526869,-0.10426885832287512,-0.008792427333802656,0.057105377774585034
10.680534027139757,4.18634057593213,-0.05023820178833893,0.6881887616992266,-0.08420644670788335,17.52544741769576,0.002523876918925861,0.4736037717291149,0.007090725667167599,-0.21031422260838936,2.88099253700196,-0.3525168646082786,-0.03457336587871284,0.0042303804615896525,-0.057949930286990164
10.861114536731716,4.194863834654761,-0.05023820178833893,0.9080199431163507,-0.08420644670788335,17.596882591294445,0.002523876918925861,0.8245002170970208,0.007090725667167599,-0.21074241579999112,3.809020020524053,-0.3532345779396833,-0.045617289130115264,0.0042303804615896525,-0.07646113294972226
4.540137455983151,1.757034272092315,0.07094198760024646,0.4832512917602274,-0.25332792343960425,3.0871694333069715,0.005032765604673523,0.23353181098792844,0.064175036794222,0.12464750354398109,0.8490890816556022,-0.4451058435613628,0.034282807147857135,-0.017971586403448588,-0.12242104624112475
