J,S,P,Q,R,target
0.056390153556044376,-0.03187093026195509,0.0,-0.000756858215710551,0.0,1.0
-0.056390153556044376,0.03187093026195509,0.0,0.000756858215710551,0.0,-1.0
0.25111547196609774,-0.07131246573244515,0.08443792370658626,-0.002791777178915357,0.08309689141566778,1.0
-0.25111547196609774,0.07131246573244515,-0.08443792370658626,0.002791777178915357,-0.08309689141566778,-1.0
0.5380509337770376,-0.22807180048877163,0.08443792370658626,-0.005954341428418328,0.08309689141566778,1.0
-0.5380509337770376,0.22807180048877163,-0.08443792370658626,0.005954341428418328,-0.08309689141566778,-1.0
1.0690643321796454,-0.405390316070419,0.0017259910477152446,0.0016694707419979155,0.4854062093002828,1.0
-1.0690643321796454,0.405390316070419,-0.0017259910477152446,-0.0016694707419979155,-0.4854062093002828,-1.0
1.090783205052632,-0.41051225370187877,0.0017259910477152446,0.0015179715023379732,0.4854062093002828,1.0
-1.090783205052632,0.41051225370187877,-0.0017259910477152446,-0.0015179715023379732,-0.4854062093002828,-1.0
0.0086334547742839,-0.004638048438052933,0.001055985298236084,0.0016018133746195217,-0.0008810431669835639,1.0
-0.0086334547742839,0.004638048438052933,-0.001055985298236084,-0.0016018133746195217,0.0008810431669835639,-1.0
0.04272252306694657,-0.023922317968423146,0.001055985298236084,0.0013114729183057762,-0.0008810431669835639,1.0
-0.04272252306694657,0.023922317968423146,-0.001055985298236084,-0.0013114729183057762,0.0008810431669835639,-1.0
0.3831329311930559,-0.184225921342421,0.00027456162352348934,0.00013789783729673856,0.16119139454825177,1.0
-0.3831329311930559,0.184225921342421,-0.00027456162352348934,-0.00013789783729673856,-0.16119139454825177,-1.0
0.5694996702019648,-0.296861605284275,0.00027456162352348934,-0.0007158929056626778,0.16119139454825177,1.0
-0.5694996702019648,0.296861605284275,-0.00027456162352348934,0.0007158929056626778,-0.16119139454825177,-1.0
0.033050606388542736,-0.008990450772102587,0.01663407276505105,-0.0005627355853927186,-0.0017587201098093752,1.0
-0.033050606388542736,0.008990450772102587,-0.01663407276505105,0.0005627355853927186,0.0017587201098093752,-1.0
0.0890843652706802,-0.04035871047819617,0.01663407276505105,-0.002436170570096905,-0.0017587201098093752,1.0
-0.0890843652706802,0.04035871047819617,-0.01663407276505105,0.002436170570096905,0.0017587201098093752,-1.0
0.8312484094212127,-0.3594322583970753,0.04395411769982313,-0.0004916654695380236,0.38247162659698225,1.0
-0.8312484094212127,0.3594322583970753,-0.04395411769982313,0.0004916654695380236,-0.38247162659698225,-1.0
0.8603764136838139,-0.37574376206172166,0.04395411769982313,-0.003631172903874086,0.38247162659698225,1.0
-0.8603764136838139,0.37574376206172166,-0.04395411769982313,0.003631172903874086,-0.38247162659698225,-1.0
0.38352011916067696,-0.17045566478828178,0.05065861214898967,-0.0033345179221852695,0.08266037095940276,1.0
-0.38352011916067696,0.17045566478828178,-0.05065861214898967,0.0033345179221852695,-0.08266037095940276,-1.0
0.4685990460045739,-0.21994338618009396,0.05065861214898967,-0.004791259789609871,0.08266037095940276,1.0
-0.4685990460045739,0.21994338618009396,-0.05065861214898967,0.004791259789609871,-0.08266037095940276,-1.0
0.47892127794472805,-0.19346587755106703,0.08032711099907185,-0.004926796184257214,0.13155037579868895,1.0
-0.47892127794472805,0.19346587755106703,-0.08032711099907185,0.004926796184257214,-0.13155037579868895,-1.0
0.6071879606937303,-0.2662972685827383,0.08032711099907185,-0.00590201425956776,0.13155037579868895,1.0
-0.6071879606937303,0.2662972685827383,-0.08032711099907185,0.00590201425956776,-0.13155037579868895,-1.0
0.2908787851895015,-0.15109432647509424,0.006962563856157011,-0.0003422627697585957,0.059777637404155926,1.0
-0.2908787851895015,0.15109432647509424,-0.006962563856157011,0.0003422627697585957,-0.059777637404155926,-1.0
0.36751735396638907,-0.19662372283636956,0.006962563856157011,-0.001667686728089146,0.059777637404155926,1.0
-0.36751735396638907,0.19662372283636956,-0.006962563856157011,0.001667686728089146,-0.059777637404155926,-1.0
0.2519526963288692,-0.12447600441612572,0.014164882155259115,-0.0009637399309541635,0.05654108593813634,1.0
-0.2519526963288692,0.12447600441612572,-0.014164882155259115,0.0009637399309541635,-0.05654108593813634,-1.0
0.3805189960719365,-0.20032850886012676,0.014164882155259115,-0.0024533989771374992,0.05654108593813634,1.0
-0.3805189960719365,0.20032850886012676,-0.014164882155259115,0.0024533989771374992,-0.05654108593813634,-1.0
1.0176091372111453,-0.39629305889070643,0.0018137285921292906,0.0016941187230936714,0.477964688906359,1.0
-1.0176091372111453,0.39629305889070643,-0.0018137285921292906,-0.0016941187230936714,-0.477964688906359,-1.0
1.067765914460477,-0.41369872928788987,0.0018137285921292906,0.0015071434302660076,0.477964688906359,1.0
-1.067765914460477,0.41369872928788987,-0.0018137285921292906,-0.0015071434302660076,-0.477964688906359,-1.0
0.07947064412024885,-0.03750489500415166,0.008019146580571346,-0.00010083782304504216,0.015061004341632711,1.0
-0.07947064412024885,0.03750489500415166,-0.008019146580571346,0.00010083782304504216,-0.015061004341632711,-1.0
0.2343660633817799,-0.12669863734055342,0.008019146580571346,-0.001622079742754706,0.015061004341632711,1.0
-0.2343660633817799,0.12669863734055342,-0.008019146580571346,0.001622079742754706,-0.015061004341632711,-1.0
0.4965326312033417,-0.16063694565527364,0.12191411349544867,-0.0065322601696639546,0.10816340877672076,1.0
-0.4965326312033417,0.16063694565527364,-0.12191411349544867,0.0065322601696639546,-0.10816340877672076,-1.0
0.6876780456173122,-0.25304651369142867,0.12191411349544867,-0.007061192265451672,0.10816340877672076,1.0
-0.6876780456173122,0.25304651369142867,-0.12191411349544867,0.007061192265451672,-0.10816340877672076,-1.0
0.852765262266816,-0.3703103163461293,-0.001558007000893813,0.0006197516167704819,0.3988499920310765,1.0
-0.852765262266816,0.3703103163461293,0.001558007000893813,-0.0006197516167704819,-0.3988499920310765,-1.0
0.8676932820415255,-0.3786287452336528,-0.001558007000893813,-9.274789327236473e-06,0.3988499920310765,1.0
-0.8676932820415255,0.3786287452336528,0.001558007000893813,9.274789327236473e-06,-0.3988499920310765,-1.0
0.3187285675941498,-0.17061457777845973,0.003396327507974181,0.0018338331400529102,0.05821811954644979,1.0
-0.3187285675941498,0.17061457777845973,-0.003396327507974181,-0.0018338331400529102,-0.05821811954644979,-1.0
0.3373741551499223,-0.18180670037911822,0.003396327507974181,0.001829346854887821,0.05821811954644979,1.0
-0.3373741551499223,0.18180670037911822,-0.003396327507974181,-0.001829346854887821,-0.05821811954644979,-1.0
0.3295649509026306,-0.0790017627209394,0.12037723180535194,-0.006534132674495036,-0.000899821722934846,1.0
-0.3295649509026306,0.0790017627209394,-0.12037723180535194,0.006534132674495036,0.000899821722934846,-1.0
0.3369821487292016,-0.08267285812676495,0.12037723180535194,-0.006986374658064155,-0.000899821722934846,1.0
-0.3369821487292016,0.08267285812676495,-0.12037723180535194,0.006986374658064155,0.000899821722934846,-1.0
0.06652571873124713,0.02212832255004832,0.08552864165088558,-0.003846550680475313,0.009329815065572122,1.0
-0.06652571873124713,-0.02212832255004832,-0.08552864165088558,0.003846550680475313,-0.009329815065572122,-1.0
0.09045196933896815,0.0096726782254975,0.08552864165088558,-0.006208300826632773,0.009329815065572122,1.0
-0.09045196933896815,-0.0096726782254975,-0.08552864165088558,0.006208300826632773,-0.009329815065572122,-1.0
0.5861694336376586,-0.25165096109886514,0.05161325198526483,-0.00432593729701451,0.2620645980684283,1.0
-0.5861694336376586,0.25165096109886514,-0.05161325198526483,0.00432593729701451,-0.2620645980684283,-1.0
0.7580109746312144,-0.35391937137849977,0.05161325198526483,-0.0045188335236374215,0.2620645980684283,1.0
-0.7580109746312144,0.35391937137849977,-0.05161325198526483,0.0045188335236374215,-0.2620645980684283,-1.0
0.6724115027724042,-0.29405893848549647,-0.0025559224666081987,0.00043126294129757284,0.3443878211510998,1.0
-0.6724115027724042,0.29405893848549647,0.0025559224666081987,-0.00043126294129757284,-0.3443878211510998,-1.0
0.8391284779418492,-0.39233591573841453,-0.0025559224666081987,0.00010674255850281686,0.3443878211510998,1.0
-0.8391284779418492,0.39233591573841453,0.0025559224666081987,-0.00010674255850281686,-0.3443878211510998,-1.0
0.7803644667852563,-0.3438374250643479,0.0004762991671364847,-0.00025579494066681543,0.36976643675290777,1.0
-0.7803644667852563,0.3438374250643479,-0.0004762991671364847,0.00025579494066681543,-0.36976643675290777,-1.0
0.8411842680802105,-0.3790864678072768,0.0004762991671364847,-0.000944630263771706,0.36976643675290777,1.0
-0.8411842680802105,0.3790864678072768,-0.0004762991671364847,0.000944630263771706,-0.36976643675290777,-1.0
0.9259667788293839,-0.3722545687668097,0.0006611357012027697,0.0015275400973964008,0.4579283636434527,1.0
-0.9259667788293839,0.3722545687668097,-0.0006611357012027697,-0.0015275400973964008,-0.4579283636434527,-1.0
1.0285502800255542,-0.41976379759986315,0.0006611357012027697,0.000980674165170883,0.4579283636434527,1.0
-1.0285502800255542,0.41976379759986315,-0.0006611357012027697,-0.000980674165170883,-0.4579283636434527,-1.0
0.13598267359123928,-0.07342066529334579,-0.0016282831872955206,0.0008511032536892751,0.026281194486293458,1.0
-0.13598267359123928,0.07342066529334579,0.0016282831872955206,-0.0008511032536892751,-0.026281194486293458,-1.0
0.27874986432556725,-0.15716846413689484,-0.0016282831872955206,0.0003083864827328874,0.026281194486293458,1.0
-0.27874986432556725,0.15716846413689484,0.0016282831872955206,-0.0003083864827328874,-0.026281194486293458,-1.0
0.5978747552553195,-0.20215940536324792,0.12729373966890933,-0.006564870319105696,0.1230918875118156,1.0
-0.5978747552553195,0.20215940536324792,-0.12729373966890933,0.006564870319105696,-0.1230918875118156,-1.0
