J,R,S,P,Q
0.0,-0.0749367013490563,-0.0336176,0.011546208239400797,-0.0015630359999999996
0.85945766016026,0.438800694474058,-0.333893,0.1175713389024422,-0.00897974
0.0,-0.1274953078395366,-0.010267999999999998,0.041374380073060484,-0.0025367640000000004
0.6301579840814369,0.42225029691543686,-0.30282119999999996,0.009349065244788964,-0.002376128
0.6302218193370115,0.43012247550726024,-0.3364198,-0.014839988283349492,-0.0007239999999999998
0.0,-0.1441942695221008,-0.0020807999999999977,0.08619080051109851,-0.006533388
0.19092380169395856,0.02817840979620599,-0.08231560000000002,0.07712136213276402,-0.007277648000000001
0.22104711295530244,0.10439065526408207,-0.05490999999999998,0.11526717637024185,-0.009425932
0.7740014560928528,0.3234819378379815,-0.38114319999999996,0.007102036899627687,-0.001892836
0.8911453337348451,0.4360168881564676,-0.3881546,0.06712074784637301,-0.002997056
0.8232753152772676,0.4358127482813775,-0.32630120000000007,0.09894542799466015,-0.005269412
0.5761295279031667,0.36377177291805635,-0.26244900000000004,0.021702365856318982,-0.0015698760000000006
0.25196754834457835,0.14085040547562566,-0.0904696,0.04182786236701392,-0.0019209320000000006
0.9995792920549058,0.4397855892187744,-0.462637,0.045913097012401954,-0.0022174039999999996
1.0204710120134788,0.4456189455696863,-0.44146500000000005,0.09204511002693712,-0.005846952000000001
0.8713723796624968,0.44101443550716424,-0.457351,-0.020375468111791348,-0.0005424639999999997
0.8274081220565008,0.4060022320642611,-0.37061940000000004,0.04884827593338065,-0.0022374919999999998
0.9895786852372911,0.42742592933142876,-0.410769,0.11915924698225613,-0.007765012000000001
0.3122977700189066,0.2757815702149926,-0.139003,0.010187492795410945,-0.0024764920000000003
0.5786055477477197,0.2115616927115954,-0.23993399999999998,0.08659587875481585,-0.004806376
0.5476578401700423,0.38950290280805744,-0.2465078,0.02047442718365844,-0.00241016
0.8747620249537462,0.4398342251898594,-0.34404960000000007,0.11531156868221758,-0.009274528
0.0,-0.1452553856542599,-0.001368799999999973,0.02865077349538337,-0.0014278160000000002
0.714284227565738,0.41084288628836696,-0.3093492,0.0465637851663898,-0.003428988000000001
0.7130709217884932,0.4266357020363024,-0.3093024,0.044088979318217744,-0.0023878599999999995
0.5702317560993853,0.3482446925604449,-0.206052,0.0824837377505031,-0.004291812
0.6801623524232655,0.3537834165810134,-0.2573082,0.10199710654991,-0.006128212
0.9248686086222954,0.44940937327849695,-0.4049514,0.06737931518377674,-0.003032724
0.7875931249090926,0.34574510083969934,-0.3598176,0.04253220832213595,-0.003552088
0.07394138566992314,-0.0563132535144779,-0.041312200000000014,0.002961160651573643,-0.0015229359999999995
