,M1,M2,M3,M4,M5,M6,M7,M8
55,89.1479,-75.22375,-15308.30543,-1920.32198,52.791,-46.6003,-3026.00227,-84.43921
56,75.2661,-56.29605,-28413.62756,-1358.1014,90.8329,-76.4808,-16263.74797,-2079.29127
57,45.4124,-47.63355,-389.53412,-30.91309,52.3071,-44.16215,-5238.01307,-138.00313
58,65.4936,-83.2872,-24998.69738,-873.27604,22.415,-24.7761,-440.16803,-772.08181
59,62.2077,-72.78815,-8838.89573,-372.91978,54.2,-66.99095,-12918.00163,-344.8568
60,111.1505,-108.7874,-440.91404,-3750.55213,106.1411,-106.7851,-32.74624,-3152.65258
61,41.6651,-23.0995,-27214.96066,-758.83356,65.4275,-69.36635,-1224.97892,-269.03683
62,7.1332,-9.2847,-365.48742,-1846.82045,12.1233,-6.54875,-2453.63164,-1496.79562
63,71.9225,-85.09415,-13698.40797,-827.58073,5.5033,-4.05235,-166.22434,-1984.16682
64,30.3655,-32.8731,-496.48514,-398.08971,25.884,-14.31175,-10573.66014,-849.4154
65,0.8619,-0.8336,-0.06324,-2414.55447,88.9771,-92.92095,-1228.09089,-1550.32223
66,90.8728,-86.25295,-1685.17684,-1713.27181,77.6614,-84.35005,-3532.37396,-854.62913
67,108.0457,-103.4672,-1655.14547,-3411.22861,48.449,-72.3376,-45057.91894,-1143.73602
68,52.4828,-57.56175,-2036.74945,-57.75576,63.7843,-55.19675,-5822.75195,-337.49896
69,49.8507,-64.05465,-15929.71486,-403.52668,48.7882,-42.57225,-3050.73692,-78.74453
70,73.0662,-59.0626,-15483.49957,-924.25121,27.3547,-16.6924,-8976.17949,-740.17889
71,42.335,-55.7301,-14167.12261,-417.60963,45.6507,-67.60645,-38061.53389,-983.02633
72,113.0874,-114.3237,-120.6806,-3983.07691,88.336,-96.76025,-5603.40774,-1611.58487
73,65.7263,-86.42945,-33842.51186,-1104.55735,114.193,-115.89075,-227.58163,-4126.50596
74,87.4066,-89.7854,-446.79221,-1410.5711,23.3279,-22.4568,-59.91365,-712.91855
75,84.6396,-88.7596,-1340.2449,-1233.85069,72.3887,-88.42285,-20299.32592,-1015.44182
76,8.5845,-6.83065,-242.87042,-1721.39562,7.1731,-4.28815,-657.15273,-1850.78924
77,16.2017,-24.2199,-5076.25584,-1270.90815,59.5664,-61.8575,-414.45542,-102.01429
78,70.8815,-72.22925,-143.41957,-439.6699,105.3405,-107.95855,-541.18482,-3076.27931
79,14.9496,-17.8852,-680.43006,-1245.76603,85.1949,-88.9909,-1137.73768,-1267.50022
80,27.1114,-29.3335,-389.86741,-533.76347,84.7309,-100.57635,-19824.34683,-1708.39199
81,63.9818,-90.34595,-54880.40153,-1585.62754,0.1711,-0.0952,-0.45486,-2482.9308
82,82.6831,-88.82975,-2983.09237,-1143.74764,38.4758,-48.44285,-7843.73669,-331.49136
83,26.7271,-18.4788,-5371.78509,-677.69678,59.2896,-41.00195,-26406.17731,-755.17295
84,57.1365,-72.63795,-18972.92893,-531.51954,97.7881,-91.1724,-3455.74222,-2371.23747
85,57.973,-32.51705,-51164.45482,-1359.57951,24.8413,-21.07565,-1119.61739,-661.32043
86,45.4897,-60.66475,-18182.34918,-480.90709,80.9677,-73.6542,-4223.18653,-1065.97301
87,5.257,-3.7931,-169.20475,-2006.22206,32.5869,-19.8147,-12880.1569,-629.47424
88,23.4154,-15.26215,-5248.69396,-839.69193,91.1986,-89.40215,-254.81207,-1703.77911
89,106.8842,-106.93985,-0.24452,-3235.8184,39.3906,-33.99845,-2295.69222,-170.70993
90,114.2904,-114.7947,-20.08018,-4133.76417,10.2223,-8.1481,-339.69644,-1590.87003
91,50.3468,-35.2507,-17993.64966,-455.90474,119.2416,-119.18015,-0.29815,-4794.40672
92,98.8265,-108.6862,-7675.68483,-2578.45447,11.9405,-14.5898,-554.18148,-1462.56312
93,51.474,-25.95215,-51429.70534,-1304.90233,52.8594,-39.9915,-13073.89783,-339.34187
94,28.1593,-32.5043,-1490.62807,-514.77423,5.3955,-4.3653,-83.79784,-1991.68404
95,0.1903,-0.1985,-0.00531,-2481.00635,73.3868,-84.28265,-9373.71973,-784.38151
96,75.9296,-81.3488,-2318.78291,-731.07961,61.0589,-86.76175,-52161.76712,-1443.57227
97,41.55,-40.0019,-189.22903,-76.19573,67.7024,-90.3666,-40557.43869,-1340.70689
98,117.1604,-115.78985,-148.3131,-4514.27614,81.164,-67.52385,-14690.2107,-1343.30228
99,8.3986,-8.52275,-1.21698,-1730.70731,100.0779,-96.5208,-999.03771,-2533.10199
